station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,additive.precip
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 13:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 14:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 14:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 14:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 14:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 15:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 15:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 15:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 15:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 16:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 16:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 16:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 16:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 17:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 17:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 17:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 17:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 18:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 18:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 18:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 18:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 19:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 19:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 19:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 19:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 20:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 20:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 20:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 20:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 21:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 21:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 21:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/24/2020 21:45 CDT,44.704
