id,relative.humidity,air.temp,ECSt.mAU,gH.,leaf.angle,leaf.temp.differential,LEF,par,NPQt,Phi2,PhiNO,PhiNPQ,ps1.active.centers,ps1.open.centers,ps1.over.reduced.centers,ps1.oxidized.centers,relative.chlorophyll,leaf.thickness,vH.,time
2021eco_Uvalde_i_08,40.893,34.27,null,null,67.35,-4.66,93.746241,414.99,1.031,0.502,0.245,0.253,1.022,0.156,-0.719,1.564,34.8,1.16,null,5/25/21 4:05
2021eco_Uvalde_i_10,41.114,33.87,0.00068,458.907,17.465,-6.58,108.7440071,474.761,0.942,0.509,0.253,0.238,1.971,0.211,0.382,0.406,60.15,0.71,0.312,5/25/21 4:16
2021eco_Uvalde_i_14,42.461,33.82,0.00051,130.208,6.406,-1.05,76.7771136,296.208,0.706,0.576,0.249,0.175,3.348,0.208,0.586,0.207,67.66,0.85,0.066,5/25/21 4:18
2021eco_Uvalde_i_15,42,33.78,0.00037,259.219,8.517,-5.57,74.5708032,287.696,0.584,0.576,0.268,0.156,1.253,0.402,0.299,0.299,42.8,1.44,0.096,5/25/21 4:20
2021eco_Bandera_i_01,63.473,24.63,0.0004,151.2,11.164,-2.06,54.6045372,193.222,0.07,0.628,0.347,0.024,2.719,0.032,0.743,0.225,68.61,0.23,0.06,5/25/21 18:19
2021eco_Bandera_i_01,64.782,25.41,0.00055,151.571,7.31,-2.54,56.85159915,210.913,0.065,0.599,0.377,0.024,0.846,0.697,-0.014,0.317,51,0.05,0.083,5/25/21 18:21
2021eco_Bandera_i_03,64.678,25.88,0.00051,163.22,8.84,-2.53,64.2582864,262.493,0.115,0.544,0.409,0.047,2.591,0.215,0.629,0.156,51.11,0.02,0.083,5/25/21 18:23
2021eco_Bandera_i_04,65.53,26.27,0.00029,159.507,11.681,-1.6,77.63351985,338.937,0.776,0.509,0.277,0.215,0.743,0.119,0.402,0.479,24.23,2.46,0.046,5/25/21 18:27
2021eco_Bandera_i_04,67.111,26.5,0.00047,272.519,12.952,-1.99,103.655754,619.21,0.796,0.372,0.35,0.278,2.311,0.065,0.72,0.215,44.74,2.07,0.128,5/25/21 18:29
2021eco_Bandera_i_06,67.553,26.73,0.00057,144.109,44.434,-1.92,74.3250816,491.568,0.91,0.336,0.348,0.316,1.566,0.035,0.619,0.346,34.7,0.89,0.082,5/25/21 18:31
2021eco_Bandera_i_07,67.963,26.93,0.00086,238.431,3.049,0.36,165.8774394,1173.938,0.231,0.314,0.557,0.129,3.731,0.157,0.788,0.055,58.69,1.42,0.205,5/25/21 18:35
2021eco_Bandera_i_08,66.535,27.44,0.00021,213.982,41.67,-1.77,52.86796875,187.975,0.413,0.625,0.266,0.11,-1.442,-0.859,2.138,-0.28,24.7,2.12,0.045,5/25/21 18:40
2021eco_Bandera_i_09,66.24,27.71,0.00026,263.656,28.77,-4.76,41.0556843,137.817,0.245,0.662,0.271,0.067,0,null,null,null,38.81,0.24,0.069,5/25/21 18:42
2021eco_Bandera_i_10,65.771,27.75,0.00018,341.868,2.524,-2.7,28.2744459,98.022,0.234,0.641,0.291,0.068,0.78,2.091,-1.153,0.062,35.98,1.85,0.062,5/25/21 18:45
2021eco_Bandera_i_11,68.355,27.83,0.00029,215.15,8.232,-2.06,40.4681031,138.994,0.183,0.647,0.298,0.055,1.36,0.938,-0.027,0.089,34.1,1.87,0.062,5/25/21 18:47
2021eco_Bandera_i_12,65.733,27.82,0.00064,179.899,2.231,-1.95,134.6426919,540.083,0.439,0.554,0.31,0.136,1.798,0.474,0.193,0.332,37.08,0.91,0.115,5/25/21 18:50
2021eco_Kerr_i_01,61.803,27.47,0.00155,244.886,4.26,2.4,504.49113,2547.935,0.602,0.44,0.35,0.21,3.244,0.491,0.516,-0.006,57.3,1.13,0.38,5/25/21 22:19
2021eco_Kerr_i_02,62.113,28.3,0.00207,214.593,11.887,-0.49,455.91444,3377.144,1.156,0.3,0.325,0.375,2.996,0.375,0.254,0.371,59.51,0.16,0.444,5/25/21 22:20
2021eco_Kerr_i_03,63.751,29.04,0.00138,200.274,4.3,0.93,523.5851376,3613.424,0.881,0.322,0.36,0.318,3.387,0.659,0.517,-0.176,60.34,0.5,0.276,5/25/21 22:22
2021eco_Kerr_i_07,54.733,30.89,0.00135,171.917,3.799,2.48,422.3561472,3666.286,10.818,0.256,0.063,0.681,0.671,0.259,-2.126,2.867,35.5,0.17,0.232,5/25/21 22:29
2021eco_Kerr_i_07,50.533,32.36,0.00124,137.598,24.744,-3.47,322.1494281,3224.719,2.993,0.222,0.195,0.583,1.674,0.114,-0.36,1.246,41.14,1.89,0.171,5/25/21 22:33
2021eco_Kerr_i_09,50.175,32.83,0.00082,175.495,55.88,-3.78,240.8700294,1960.684,1.502,0.273,0.291,0.437,1.368,0.087,-0.16,1.073,36.35,0.25,0.144,5/25/21 22:35
2021eco_Kerr_i_10,48.508,33.47,0.00083,189.792,7.161,-4.24,317.9902334,1915.027,1.57,0.369,0.246,0.386,1.765,0.214,0.106,0.681,25.65,2.06,0.158,5/25/21 22:39
2021eco_Kerr_i_10,48.423,33.66,0.00136,230.98,0,-2.59,416.3798016,3478.528,2.96,0.266,0.185,0.549,1.701,0.011,-0.395,1.384,63.91,3.17,0.314,5/25/21 22:41
2021eco_Kerr_i_12,47.223,33.87,0.00102,212.386,11.754,-6.02,256.3872597,2726.074,1.498,0.209,0.317,0.475,0.534,-0.025,-3.152,4.178,58.93,3.06,0.217,5/25/21 22:45
2021eco_Kerr_i_13,44.566,34.57,0.00083,263.518,18.835,-3.14,250.3138248,1198.821,1.192,0.464,0.245,0.292,1.883,0.616,-0.016,0.401,58.91,0.33,0.219,5/25/21 22:56
2021eco_Kerr_i_14,44.883,34.67,-0.01566,-274.647,41.919,-2.94,378.2213015,3375.469,0.574,0.249,0.477,0.274,-1.68,0.257,2.343,-1.6,65.97,2.23,4.301,5/25/21 22:56
2021eco_Kerr_i_15,45.475,34.82,0.00093,267.159,26.817,-6.11,441.8750862,2939.954,1.2,0.334,0.303,0.363,2.006,0.332,0.022,0.646,63.91,0.89,0.248,5/25/21 22:57
2021eco_Comal_i_01,65.99,26.02,0.0003,170.398,33.27,-1.07,73.374489,262.991,0.198,0.62,0.317,0.063,1.651,1.037,-0.112,0.075,47.6,0.2,0.051,5/26/21 19:23
2021eco_Comal_i_02,65.679,26.49,0.00058,178.526,5.516,-0.14,160.45155,713.118,0.236,0.5,0.404,0.095,2.435,0.383,0.285,0.331,56.9,0.24,0.104,5/26/21 19:25
2021eco_Comal_i_03,65.182,27.05,0.00037,219.376,7.637,-1.76,114.3197996,435.753,0.213,0.583,0.344,0.073,1.415,0.561,0.22,0.219,51.5,0.07,0.081,5/26/21 19:27
2021eco_Comal_i_04,63.515,28.02,0.0003,203.007,41.926,-2.83,105.8484456,397.329,0.273,0.592,0.32,0.087,0.951,1.058,-0.732,0.674,29.2,1.62,0.061,5/26/21 19:33
2021eco_Comal_i_05,62.283,28.51,0.00006,-2754.717,2.053,-1.4,105.0768936,411.824,0.128,0.567,0.384,0.049,1.423,0.342,0.313,0.345,24.72,4.9,-0.165,5/26/21 19:36
2021eco_Comal_i_06,60.787,28.87,0.00092,190.099,7.15,-0.8,127.4051205,577.801,0.46,0.49,0.35,0.161,0.926,0.157,-0.048,0.89,30.75,2.31,0.175,5/26/21 19:39
2021eco_Comal_i_07,59.442,29.33,0.00021,310.496,3.398,0.68,154.5807483,678.879,0.399,0.506,0.353,0.141,2.228,0.548,0.197,0.255,13.28,4.61,0.065,5/26/21 19:46
2021eco_Comal_i_08,58.467,29.88,27.99669,0,19.965,-0.59,121.6100385,732.37,0.487,0.369,0.425,0.207,0.704,0.242,0.545,0.213,2.9,3.87,0,5/26/21 19:49
2021eco_Comal_i_09,58.246,30.24,0.00005,-1864.776,1.915,-0.59,173.9520122,768.509,0.42,0.503,0.35,0.147,1.17,0.786,0.354,-0.14,2.65,4.53,-0.093,5/26/21 19:51
2021eco_Comal_i_10,57.216,30.77,0.00042,279.077,14.441,-2.2,220.5710676,1047.346,1.233,0.468,0.238,0.294,1.164,0.473,-0.073,0.6,32.15,7.23,0.117,5/26/21 19:56
2021eco_Comal_i_11,56.271,31.14,0.00059,227.254,7.816,-3.29,244.68444,1121.12,1.216,0.485,0.232,0.282,1.461,0.453,-0.164,0.711,40.51,4.2,0.134,5/26/21 19:59
2021eco_Comal_i_12,57.296,31.22,0.00016,510.051,31.619,-0.89,125.4855888,579.744,0.79,0.481,0.29,0.229,1.081,0.126,0.677,0.197,12.1,6.63,0.082,5/26/21 20:02
2021eco_Comal_i_12,55.241,31.03,0.0002,202.453,31.915,-0.52,166.726773,711.14,0.623,0.521,0.295,0.184,0.382,1.312,-0.242,-0.07,7.46,3.63,0.04,5/26/21 20:11
2021eco_Comal_i_14,57.001,31.1,0.00101,147.066,15.556,-0.73,232.2938763,1830.527,1.033,0.282,0.353,0.365,1.778,0.157,0.244,0.599,27.26,3.44,0.149,5/26/21 20:14
2021eco_Comal_i_15,54.853,31.77,0.00048,125.215,18.057,-1.9,135.9712598,554.419,0.236,0.545,0.368,0.087,-0.545,-0.179,2.467,-1.288,18.82,0,0.06,5/26/21 20:18
2021eco_Hays_i_01,56.279,30.36,0.00094,329.15,10.718,-2.47,337.4260641,1739.758,1.15,0.431,0.265,0.304,2.705,0.345,0.101,0.554,76.22,0.34,0.309,5/26/21 21:51
2021eco_Hays_i_02,56.399,30.59,0.0008,255.911,9.856,-3.06,259.5729906,1139.978,0.855,0.506,0.266,0.228,1.846,0.673,0.02,0.307,59.28,0.5,0.205,5/26/21 21:52
2021eco_Hays_i_03,55.354,30.9,0.00073,267.576,3.535,-3.83,226.8511623,911.598,0.642,0.553,0.272,0.175,1.48,0.789,-0.282,0.492,59.82,1.37,0.195,5/26/21 21:53
2021eco_Hays_i_03,48.042,33.94,0.0007,213.637,28.934,-1.75,199.1961788,1017.605,1.984,0.435,0.189,0.375,1.18,0.635,-0.277,0.643,30.71,6.77,0.15,5/26/21 22:13
2021eco_Hays_i_11,49.778,34.24,0.00021,386.535,5.829,-1.47,130.2908832,532.234,1.292,0.544,0.199,0.257,1.293,0.77,-0.069,0.299,18.06,6.75,0.081,5/26/21 22:15
2021eco_Hays_i_12,47.62,34.52,0.00069,203.637,10.885,-1.59,220.6010376,1134.779,2.34,0.432,0.17,0.398,1.197,0.365,-0.092,0.728,29.38,4.89,0.141,5/26/21 22:17
2021eco_Hays_i_13,46.284,34.69,0.00207,180.44,19.956,-5.36,503.9759795,3467.327,2.02,0.323,0.224,0.453,3.031,0.286,0.184,0.53,78.09,0.16,0.374,5/26/21 22:25
2021eco_Hays_i_14,45.387,35.24,0.00055,263.084,17.102,-8.21,163.2648042,628.788,0.481,0.577,0.285,0.137,0.219,6.325,-8.893,3.568,58.98,0.61,0.145,5/26/21 22:30
2021eco_Hays_i_15,44.576,35.15,0.00077,254.249,11.442,-8.26,210.2490877,798.667,0.425,0.585,0.291,0.124,1.39,1.125,-0.83,0.705,61.86,0.19,0.196,5/26/21 22:31
