"","site","sampling.year","id","visit.type","photo","pft","NCRS.code","soil.pH","soil.cec","soil.no3n","soil.phos","soil.potassium","total.leaf.area","dry.wgt","n.leaf","c.leaf","sla","n.area","cn.leaf","d13C","d15n","norm.precip","norm.spei","norm.aridity","month.precip","spei","aridity","chi"
"457","Uvalde_2020_02",2020,"Uvalde_i_01","i","c4","c4_graminoid","SCHIZ4",7.5,148,3,11,293,1.39,0.0459,0.65,42.48,30.3,19.7,65.35,-12.82,0.23,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.0213537551409064
"458","Uvalde_2020_02",2020,"Uvalde_i_02","i","c3","c3_graminoid","NALE3",7.5,148,3,11,293,5,0.0675,0.6,43.27,74.13,44.48,72.12,-26.32,-1.42,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.637841437974934
"459","Uvalde_2020_02",2020,"Uvalde_i_03","i","c4","c4_graminoid","SCHIZ4",7.5,148,3,11,293,2.43,0.0622,0.4,42.63,39.08,15.63,106.58,-12.86,-1.51,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.0231554785694473
"460","Uvalde_2020_02",2020,"Uvalde_i_04","i","c3","c3_forb","SOEL",7.5,148,3,11,293,11.97,0.2427,1.77,34.91,49.31,87.28,19.72,-27.32,2.56,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.684187943828947
"461","Uvalde_2020_02",2020,"Uvalde_i_05","i","c3","c3_forb","SOEL",7.5,148,3,11,293,8.5,0.1406,1.73,30.99,60.49,104.65,17.91,-28.99,0.6,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.761799432813912
"462","Uvalde_2020_02",2020,"Uvalde_i_06","i","c3","c3_forb","SOEL",7.5,148,3,11,293,4.77,NA,1.86,41.47,NA,NA,22.3,-31.29,0.05,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.869127567973574
"463","Uvalde_2020_02",2020,"Uvalde_i_07","i","c3","c3_graminoid","NALE3",7.5,148,3,11,293,4.02,0.0865,0.63,43.55,46.46,29.27,69.13,-27.25,-0.28,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.680940586740902
"464","Uvalde_2020_02",2020,"Uvalde_i_08","i","c3","c3_graminoid","NALE3",7.5,148,3,11,293,5.26,0.0588,0.91,42.59,89.53,81.47,46.8,-26.1,-0.48,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.627657979458559
"465","Uvalde_2020_02",2020,"Uvalde_i_09","i","c3","c3_graminoid","NALE3",7.5,148,3,11,293,2.69,0.0363,0.53,42.22,74.1,39.27,79.66,-28.01,-0.6,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.716222634942801
"466","Uvalde_2020_02",2020,"Uvalde_i_10","i","c3","c3_forb","AMAR2",7.5,148,3,11,293,2.21,0.0298,1.63,37.32,74.24,121.01,22.9,-30.81,0.53,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.846686590855406
