"","site","sampling.year","visit.type","norm.precip","norm.et0","norm.water.balance","norm.spei","norm.aridity","month.precip","et0","water.balance","spei","aridity"
"30","Russel_2020_01","2020","i",76.3693333333333,124.596589963162,-48.2272566298288,-0.0337714040309669,0.700912792526576,221.742,81.7127157570684,140.029284242932,1.66761308691818,2.71367801137877
"31","Sansaba_2020_01","2020","i",59.4995,126.997054464269,-67.497554464269,-0.0434446524485403,0.51578118063563,0,155.6554416871,-155.6554416871,-1.24839715035104,0
"32","Uvalde_2020_02","2020","i",51.3291666666667,128.011805754194,-76.6826390875278,-0.0227375082335661,0.400668725244301,58.166,95.9367224175892,-37.7707224175892,1.45985405340589,0.606295467827403
"33","Uvalde_2020_02","2020","p",51.3291666666667,128.011805754194,-76.6826390875278,-0.0227375082335661,0.400668725244301,3.55600000000001,104.809237147863,-101.253237147863,-0.0811109538624411,0.0339283072443631
"34","Uvalde_2020_02","2021","i",51.3291666666667,128.011805754194,-76.6826390875278,-0.0227375082335661,0.400668725244301,59.182,80.2610069833917,-21.0790069833917,0.815812688190509,0.729950667191021
"35","Uvalde_2020_02","2021","p",51.3291666666667,128.011805754194,-76.6826390875278,-0.0227375082335661,0.400668725244301,62.23,98.4869468715549,-36.2569468715549,0.649418434285679,0.631860383296878
"36","Washington_2020_08","2021","i",87.5453333333333,135.42732673379,-47.8819934004562,-0.0335066435822125,0.746705233866566,106.045,62.102462239903,43.942537760097,0.893067781317177,1.54229340309191
"37","Williamson_2019_09","2020","i",64.8546666666667,119.027827797521,-54.1731611308538,-0.0423483457006062,0.616540320993082,87.884,86.6038837566719,1.28011624332805,1.40198075293627,1.01478127986644
"38","Williamson_2019_10","2020","i",76.7291666666667,125.248506410271,-48.519339743604,-0.0320859100764776,0.686600218665664,83.82,81.1747036539962,2.64529634600375,1.39069236032699,1.03258769329518
"39","Williamson_2019_10","2020","p",76.7291666666667,125.248506410271,-48.519339743604,-0.0320859100764776,0.686600218665664,20.32,113.65529218913,-93.3352921891304,-0.561494527576197,0.178786219353394
