id,dry.wgt
2021eco_Burnet12_i_04,0.0614
2021eco_Burnet12_i_05,0.0538
2021eco_Burnet12_i_06,0.0935
2021eco_Burnet12_i_07,0.1269
2021eco_Burnet12_i_08,0.2044
2021eco_Burnet12_i_09,0.1508
2021eco_Burnet12_i_10,0.2017
2021eco_Burnet12_i_11,0.2366
2021eco_Burnet12_i_12,0.1368
2021eco_Burnet12_i_13,0.1805
2021eco_Burnet12_i_14,0.1237
2021eco_Burnet12_i_15,0.1726
2021eco_Burnet14_i_01,0.2022
2021eco_Burnet14_i_02,0.1399
2021eco_Burnet14_i_03,0.1996
2021eco_Burnet14_i_04,NA
2021eco_Burnet14_i_05,0.1643
2021eco_Burnet14_i_06,0.3161
2021eco_Burnet14_i_07,0.0491
2021eco_Burnet14_i_08,0.0661
2021eco_Burnet14_i_09,0.0455
2021eco_Burnet14_i_10,0.0897
2021eco_Burnet14_i_11,0.0728
2021eco_Burnet14_i_12,0.1005
2021eco_Burnet14_i_13,0.1098
2021eco_Burnet14_i_14,0.2212
2021eco_Burnet14_i_15,0.0976
2021eco_Comal_i_01,0.2
2021eco_Comal_i_02,0.269
2021eco_Comal_i_03,0.1979
2021eco_Comal_i_04,0.0715
2021eco_Comal_i_05,0.0893
2021eco_Comal_i_06,0.0544
2021eco_Comal_i_07,0.0472
2021eco_Comal_i_08,0.0627
2021eco_Comal_i_09,0.0569
2021eco_Comal_i_10,0.1009
2021eco_Comal_i_11,0.1213
2021eco_Comal_i_12,0.1122
2021eco_Comal_i_13,0.0458
2021eco_Comal_i_14,0.0407
2021eco_Comal_i_15,0.0314
2021eco_Fayette09_i_01,0.2113
2021eco_Fayette09_i_02,NA
2021eco_Fayette09_i_03,0.2689
2021eco_Fayette09_i_04,0.2547
2021eco_Fayette09_i_05,0.2313
2021eco_Fayette09_i_06,0.2755
2021eco_Fayette09_i_07,0.1431
2021eco_Fayette09_i_08,0.0985
2021eco_Fayette09_i_09,0.1189
2021eco_Fayette09_i_10,0.142
2021eco_Fayette09_i_11,0.1803
2021eco_Fayette09_i_12,0.1134
2021eco_Fayette09_i_13,0.2189
2021eco_Fayette09_i_14,0.188
2021eco_Fayette09_i_15,0.2447
2021eco_Fayette12_i_01,0.326
2021eco_Fayette12_i_02,0.2524
2021eco_Fayette12_i_03,0.2529
2021eco_Fayette12_i_04,0.098
2021eco_Fayette12_i_05,0.1661
2021eco_Fayette12_i_06,0.0784
2021eco_Fayette12_i_07,0.5137
2021eco_Fayette12_i_08,0.3036
2021eco_Fayette12_i_09,0.4456
2021eco_Fayette12_i_10,NA
